FP name,FP name,Temp,t_chlor (min),Number of Cells,Doubling Time (min),CV 25% (experimental noise),CV 100%(experimental noise),Brightness(t_chlor),Proportionality Factor,"SEM(t_chlor), Flscnc(au)",t50,t90
mEmerald,mEmerald,37,33,86,28.239961347472473,0.0045711898626719875,0.002817797035820705,316762.5588087726,1,13930.419332965319,11.158519316980941,39.82792845551541
mGFPmut2,mGFPmut2,37,48,108,21.753858943440896,0.003390523995096284,0.0019851531268631935,306557.59931160597,1,12291.330476067555,5.5980277438573625,28.958865578949087
sfGFP,sfGFP,37,42,29,29.517140805634966,0.018908790991634804,0.00929775033562261,241855.3080338362,1,27514.867492954174,13.626778765231977,39.59469832616105
mEGFP,mEGFP,37,42,104,29.33783637641529,0.0034019157819898983,0.002887983354777005,219988.02538286842,1,16461.633630403503,14.549070793198197,42.684517142477624
SCFP3A,SCFP3A,37,48,94,28.834426417170828,0.0041127024187825045,0.003371132223253319,214098.9435477939,1,13645.872411098797,6.403617262994758,24.18245212977204
mTurquoise2,mTurquoise2,37,76,76,29.183025124674085,0.0033671302339792378,0.003667433832871106,197109.94678635607,1,10479.685504850528,33.5012501682851,96.10419110208774
mCerulean,mCerulean,37,48,129,29.49509183752589,0.004722727586046556,0.004104244077177592,178153.51647303085,1,9974.417720450967,6.617944117984359,24.134522245090647
moxGFP,moxGFP,37,33,45,30.372094384182656,0.003208865117265495,0.001908486160641535,173743.66410321672,1,14984.075149069782,17.096178059592802,50.40732424274512
mCeruleanME,mCeruleanME,37,48,140,29.852933679216978,0.0050897020824546375,0.004478429651163687,150767.82334409418,1,9374.212130314556,7.431091345773493,26.89110703646514
mGFPmut3,mGFPmut3,37,44,166,27.79237465067766,0.003125676973245536,0.0014804651873979002,145442.17560637544,1,5332.277122235193,4.121528651221603,16.08547601462134
2ndVal mNG,2ndVal mNG,37,42,123,28.537271948202804,0,0,127443.25119412201,,6391.3759604995485,12.178125482936832,39.37085998420313
mNeonGreen,mNeonGreen,37,33,93,28.047808073314105,0.005245039824035428,0.00302296582335571,126707.19725014323,,8140.704340768379,10.853545670342932,38.422850850170555
mCerulean3,mCerulean3,37,34,47,31.87246577440503,0,0,115410.36015748195,1,19264.790477698192,69.75285382669158,179.39457434276278
2ndVal mGFPmut2,2ndVal mGFPmut2,37,40,170,27.991224202336763,0.005353130128681556,0.0023380861319084877,91730.05506805198,,3697.4387835612697,4.881695204697478,17.715563537407913
mTurquoise,mTurquoise,37,34,23,30.673861956866983,0,0,77363.00052163593,1,11836.627339640287,112.24119090557039,322.55844807109287
mVenusNB,mVenusNB,37,41,72,30.680740595586016,0.008844333556803372,0.00754533561454706,68478.89178927886,1,2593.250145601339,4.078051827661579,19.10680359928496
mVenusME,mVenusME,37,41,112,30.24802377114242,0.006016422343057209,0.005915510221495213,63359.78822524929,1,3016.8349383510663,9.550554358960312,30.979468740459282
mYPet,mYPet,37,33,48,27.09559036665508,0.00634154629146959,0.003717394281932747,51651.85290147304,1,4942.625133422796,9.694666855159818,34.176464770365634
mVenusJBC,mVenusJBC,37,65,69,28.450117127255485,0.007355555407198418,0.0038719949743184295,46863.277760407094,1,2973.002000715043,17.643571853109453,59.48242107762954
mEYFP,mEYFP,37,33,53,28.539338431461267,0.0033454050580305093,0.0026931864709746544,44952.92310469286,1,3383.7675788936986,9.04597352724926,31.217420495297308
moxCerulean3,moxCerulean3,37,34,20,24.95758559680207,0,0,40876.79095371713,1,5027.910061250079,100.43865137858171,238.60070507967808
moxVenus,moxVenus,37,33,19,26.575341253956406,0.008946511359179624,0.002718920455114416,39152.69736192314,1,5744.560325134652,25.764271412425153,78.69022061871887
mClover3,mClover3,37,33,50,27.81354325466323,0,0,34351.75367207383,1,4796.063551108049,43.47337554037662,112.37453060556682
comVenME,comVenME,37,32,13,31.626533573666443,0.014246962996843665,0.012503604991264338,31045.490346542345,,7594.4104906321545,7.780594270198369,18.240896041469227
Clover,Clover,37,40,142,30.27243938104618,0.005972345747199753,0.005016650977789622,30733.87311004759,1,2142.6398052547006,22.171274468320195,62.22089822127487
SCFP1,SCFP1,37,76,91,30.22857563773204,0.0047251892293646075,0.005624642495282558,25051.479159846684,1,1424.0615288611682,50.92705642500087,118.74725726191218
comVenNB,comVenNB,37,32,46,30.15039442376884,0.008267963897785774,0.007920249533293382,22864.05611727555,,1598.2129291862093,3.4772342032301613,13.113535523675587
VenusSX,VenusSX,37,33,32,26.022190341259172,0.00816339896466469,0.005308379392186031,22372.475021938273,,2380.200320960351,18.632172875813513,58.11914504918832
coClover,coClover,37,32,16,32.71595939419798,0.013402053862570186,0.01492187883506311,21443.733100886195,,9671.6600453062,21.765633736884745,62.72010104356991
comVenJBC,comVenJBC,37,32,44,29.746292842717825,0.007170407114430219,0.00828320850626156,17941.278925400762,,1552.4024907881023,14.224869856195511,44.288136218556794
coCeruleanME,coCeruleanME,37,32,19,28.10998763446507,0.012274763960018222,0.010944253287170235,10858.274103521378,,1032.54402673088,10.533314350182282,24.734982252071884
coSCFP3A,coSCFP3A,37,32,23,26.4801327732055,0.013849128276947698,0.012255653172029682,10078.419631797347,,1000.3690053850642,9.439496170590054,20.233491072766284
wtGFP,wtGFP,37,42,92,32.50141072754799,0,0,8795.269578863037,1,1677.8473767722778,36.143172228332155,83.87115396426792
comTurquoise2,comTurquoise2,37,32,17,32.63828660253402,0.018463512276896302,0.012287392032685775,8749.485447347544,,768.9879819464717,38.39075656696024,105.64906589515022
mScarlet-I,mScarlet-I,37,38,77,30.316167763320017,0.006641025455666948,0.0036474986440490917,8623.99887696391,1,543.5395713494352,25.74737092486396,66.92348337203312
mCherry2-L,mCherry2-L,37,43,42,28.252658840487012,0.006108036780971267,0.004042741023945712,7348.5989132023,,786.8251787942943,22.838330052784926,51.48063578614498
mRFPasterisk,mRFPasterisk,37,38,81,29.69989953816741,0.004543143508671921,0.0020866526333908507,6578.661894285501,1,329.51771264919256,23.751403763670044,54.16657124579996
Katushka9-5,Katushka9-5,37,48,84,26.55030148851409,0.015290690095698648,0.0036390323813137284,6407.65377602156,,431.71469669523543,27.449073465301296,76.91112351438612
wtmGFP,wtmGFP,37,42,89,29.399922713545614,0,0,6106.723962783743,,569.8167273884458,37.584694518228694,86.5157639256858
comClover3,comClover3,37,32,22,29.434108843407337,0.018709312644028853,0.011093258341041997,6081.6326489516905,,668.7090013186028,40.89406830115013,101.28285568776123
Katushka,Katushka,37,48,83,26.83421746621555,0.010626091714126606,0.002334455091702125,5962.880875752793,1,431.1179737687532,33.97300259558898,92.84536776853254
2ndVal mCherry2-L,2ndVal mCherry2-L,37,29,58,30.242027303999823,0.010743564778094431,0.008168272782186908,5786.279106364728,,377.2331797211452,22.76494586857661,52.72023922822979
Sapphire,Sapphire,37,34,41,26.420143675752925,0.007742343636496094,0.00562577642530084,5511.582999585064,,423.60009584415343,38.384375548398516,103.81186116957481
2ndVal mScarlet-I,2ndVal mScarlet-I,37,29,25,27.696981716228937,0.017204846761828214,0.010945206541237325,5240.3612976,,471.07019213981704,25.528428023320142,67.78318254331914
mRFP1,mRFP1,37,29,25,28.400853132928553,0.008022292255184056,0.009912910813897221,3853.8008504370237,,480.7923199312403,21.876635026336814,51.508654692845745
comCerulean3,comCerulean3,37,32,21,29.211891655234343,0,0,3668.127865681243,,1718.5235371590818,79.06648416856375,206.37978742103152
2ndVal mRFP1,2ndVal mRFP1,37,29,40,25.10964196622107,0.007156384568728004,0.00477393971535797,3438.336789468602,,413.8034584706652,22.148070030699035,51.588313954125574
mKate2,mKate2,37,38,33,26.436841195633086,0.007585252647085977,0.006284868545205945,3378.0930637459774,,333.4379092091271,34.35581919762693,79.3333190966166
E2Crimson,E2Crimson,37,48,91,27.69838501080371,0.016915154242562624,0.006476022625166684,2663.297245355515,,132.7460172672536,23.379991751178494,56.673594029146614
2ndVal Katushka,2ndVal Katushka,37,29,94,26.887033908170086,0.011169745868649448,0.008274425231204183,2398.583897726074,,178.86306680744178,33.27390479890902,84.15212203797942
mScarlet,mScarlet,37,38,44,28.695498011355678,0,0,2367.9808720418046,1,286.25893410779975,132.38936298390848,379.44919651336545
2ndVal mKate2,2ndVal mKate2,37,29,40,27.381947264298248,0.011003643199037454,0.007377260419509738,2266.912605226331,,252.30275377391965,31.750813259593272,72.33244738070657
T-Sapphire,T-Sapphire,37,34,91,28.756372200259538,0,0,2141.532740721813,,187.3942772145868,156.45844381475385,482.4670587828473
mCherry-L,mCherry-L,37,43,61,26.19563381935057,0.018813727926634643,0.006069956034186705,2049.2919488758102,1,237.74778048539443,37.020350943727905,81.76665009661497
mNeptune2,mNeptune2,37,38,59,27.301297308381457,0,0,1636.5491602528375,,119.99052139197855,591.4673250168372,1999.7405103709218
2ndVal mCherry-L,2ndVal mCherry-L,37,29,81,27.58913872596337,0.006289642612462875,0.008232778235282573,1579.9978663903594,,121.40692011223791,34.89792937586832,78.14850518461417
mNeptune2.5,mNeptune2.5,37,38,39,27.042269282836305,0.015404075835212515,0.00951987433426111,1338.9894947966386,,144.36411786088857,34.458502261114084,87.755351181448
DsRedExpress,DsRedExpress,37,48,120,26.95871237713286,0.0568218566198179,0.013226424811254342,1286.5493270895354,1,95.65594132911541,26.079027567211757,70.27956621057699
2ndVal Kat9-5,2ndVal Kat9-5,37,29,40,25.359140873746934,0.017965912212732228,0.009635956061232149,1180.755080057263,,89.20814987420955,28.352398363446053,70.35678067434344
coSCFP1,coSCFP1,37,32,9,25.322293237175902,0.06845794017225167,0.02076558030225783,1165.1094074074156,,186.81053723521237,55.92320564006153,113.90214527252242
2ndVal mNept2.5,2ndVal mNept2.5,37,29,62,28.638494397131222,0.016684890709852716,0.01118957567461469,1125.7065750323152,,91.15350363360217,30.36772920977391,90.88901370139746
DsRedExpress2,DsRedExpress2,37,43,76,25.578863639143407,0.038833556025076904,0.008239601004173857,1002.6248052789213,,79.77717286552492,33.63030036666616,78.4144044172146
mRuby3,mRuby3,37,38,54,27.884506356876592,0,0,940.4945402403658,,72.23942228944925,130.84702382555608,345.20536793092054
mRuby3 Addgene,mRuby3 Addgene,37,38,25,25.855572219918276,0,0,758.3697415506884,,117.5945519770182,136.45854185472905,357.3241384359146
2ndVal DsRedEx2,2ndVal DsRedEx2,37,29,16,27.70676056400623,0.03489839081851833,0.03086365316750331,563.4213174086788,,44.03438857448711,33.68725037197151,86.5582112499646
TagRFP,TagRFP,37,38,43,28.775854189656165,0.026068748781546577,0.018874635013672217,550.8161384910615,1,55.99708560571742,42.09894798674549,102.11213851799532
TagRFP-T,TagRFP-T,37,38,72,29.20108035297823,0.015592053085900904,0.02057199200320982,443.1180891782354,1,26.844824735255028,42.364881958811225,102.61849501182438
TurboRFP,TurboRFP,37,43,43,26.747070416719417,0,0,276.9620472470004,1,49.08430211517028,87.81514646375581,279.34820577152675
